output,component,pair,S2,S2_conf
avg_payoff,stochastic,tpr*p_fake,-0.013574479487348023,0.06174040633450227
avg_payoff,stochastic,tpr*log10_lambda,-0.005791681164119031,0.05549559796380699
avg_payoff,stochastic,tpr*loss_aversion,-0.0061928693507944,0.07006201419974349
avg_payoff,stochastic,fpr*p_fake,0.021551432281994964,0.07186379147374415
avg_payoff,stochastic,fpr*log10_lambda,0.01593006385952675,0.07445266524234352
avg_payoff,stochastic,fpr*loss_aversion,0.026646076347136716,0.07029210380260648
avg_payoff,stochastic,p_fake*log10_lambda,0.10059827554631648,0.12074775400458469
avg_payoff,stochastic,p_fake*loss_aversion,0.029848107219543073,0.0921705492909516
avg_payoff,stochastic,log10_lambda*loss_aversion,-0.012443701673785421,0.07399160927204117
sen_welfare,deterministic,v_cost*loss,0.0003110963059566596,0.014540202736177496
sen_welfare,deterministic,v_cost*tpr,0.0008048041099740083,0.01467217199553598
sen_welfare,deterministic,v_cost*fpr,0.003881713157485967,0.014041793582018337
sen_welfare,deterministic,v_cost*p_fake,0.006833392934769589,0.01341456447525105
sen_welfare,deterministic,v_cost*log10_lambda,0.004207344037208072,0.014718597759507743
sen_welfare,deterministic,v_cost*loss_aversion,0.005885442750576175,0.014501339773418434
sen_welfare,deterministic,loss*tpr,0.003187727465547338,0.03489989961832471
sen_welfare,deterministic,loss*fpr,0.0047821551010949065,0.034566288617119634
sen_welfare,deterministic,loss*p_fake,0.00891992897344196,0.035329839754262835
sen_welfare,deterministic,loss*log10_lambda,0.01484695398117887,0.03575539000593124
sen_welfare,deterministic,loss*loss_aversion,0.00022701483155560063,0.033909715821616664
sen_welfare,deterministic,tpr*fpr,0.012395167649493798,0.04220687631392622
sen_welfare,deterministic,tpr*p_fake,0.01536003504110861,0.04080493724576366
sen_welfare,deterministic,tpr*log10_lambda,0.0016583186499253694,0.04088724242770935
sen_welfare,deterministic,tpr*loss_aversion,-0.001495842006746506,0.03962997644988798
sen_welfare,deterministic,fpr*p_fake,-0.00023303440119248897,0.030923152407371632
sen_welfare,deterministic,fpr*log10_lambda,-0.007423559449105194,0.031031348526058558
sen_welfare,deterministic,fpr*loss_aversion,-0.0006107587503807075,0.030651697401866813
sen_welfare,deterministic,p_fake*log10_lambda,0.038612492730039444,0.0913313835447862
sen_welfare,deterministic,p_fake*loss_aversion,0.003836876661780797,0.07749337970581907
sen_welfare,deterministic,log10_lambda*loss_aversion,-0.0311951944387641,0.04813014288084876
sen_welfare,stochastic,v_cost*loss,0.005346419203491734,0.02591095126452227
sen_welfare,stochastic,v_cost*tpr,0.006870707303927165,0.030565206792845762
sen_welfare,stochastic,v_cost*fpr,-0.010795617344105706,0.02592536624160934
sen_welfare,stochastic,v_cost*p_fake,-0.016539506525788422,0.03146750569033722
sen_welfare,stochastic,v_cost*log10_lambda,-0.006200301877516301,0.02968345998904827
sen_welfare,stochastic,v_cost*loss_aversion,-0.0046344497830671265,0.0328014043558034
sen_welfare,stochastic,loss*tpr,0.002958694309738358,0.07147189151199164
sen_welfare,stochastic,loss*fpr,-0.012349005176271024,0.05117995939245736
sen_welfare,stochastic,loss*p_fake,-0.0077921376559314665,0.0698980878073953
sen_welfare,stochastic,loss*log10_lambda,-0.0013817401286036757,0.06749329876506094
sen_welfare,stochastic,loss*loss_aversion,-0.029959227636918724,0.049931984694510316
sen_welfare,stochastic,tpr*fpr,0.008371788144580762,0.11031962920222038
sen_welfare,stochastic,tpr*p_fake,0.022015768344655864,0.11866872119297857
sen_welfare,stochastic,tpr*log10_lambda,0.010351913123924111,0.11347533561745829
sen_welfare,stochastic,tpr*loss_aversion,-0.02011174842979726,0.08697779521452652
sen_welfare,stochastic,fpr*p_fake,-0.030940716826264057,0.04228698685695638
sen_welfare,stochastic,fpr*log10_lambda,-0.0207594551761546,0.0401955678281063
